Substance_None,None_None,"Non-Carcinogenic TRVs*_Oral Tolerable
Daily Intake
TDI
mg/kg -day
BW","Non-Carcinogenic TRVs*_Inhalation
Tolerable
Concentration
TC
mg/m3","Carcinogenic TRVs*_Oral Slope
Factor
SF
(mg/kg -day)-1
BW","Carcinogenic TRVs*_Inhalation
Unit Risk
UR
(mg/m3)-1"
Ethylbenzene,,0.022,2,,
n-Hexane,,0.1p,0.7p,,
Lead3,,0.0005p,,,
Manganese,,0.025,,,
"Mercury, inorganic4",,0.0003,,,
"Methylmercury
women of child-bearing age, infants and children < 12 years
non-sensitive adults of the general population",,"0.0002p
0.00047p",,,
"Methylnaphthalene, 2-",,0.004,,,
Naphthalene,,0.02,0.01,,
Nickel chloride,,0.0013,,,
Nickel oxide,,,0.000025,,
Nickel subsulfide,,,0.000018,,
"Nickel, metallic",,,0.000018p,,
Nickel sulfate,,0.012,0.00002,,
"Nickel, mixture of oxidic5, sulfidic6, and soluble7 inorganic
nickel compounds",,,,,1.3
Perfluorooctanoic acid (PFOA),,0.000021,,,
Perfluorooctane sulfonate (PFOS),,0.00006,,,
"Polychlorinated biphenyls (PCBs), non dioxin-like
(i.e., non-coplanar)",,0.00001p,,,
"Polychlorinated biphenyls (PCBs), dioxin-like (i.e., coplanar)8",,2.3E-09 TEQp,,,
"Polychlorinated dibenzo-p-dioxins/ Polychlorinated
dibenzofurans (PCDDs/PCDFs)8",,2.3E-09 TEQp,,,
Pyrene,,0.03,,,
Selenium,0 to < 6 months,0.0055UL,,,
Selenium,6 months to < 5 years,0.0060UL,,,
Selenium,5 to < 12 years,0.0063UL,,,
Selenium,12 to < 20 years,0.0062UL,,,
Selenium,≥ 20 years,0.0057UL,,,
Tetrachloroethylene (PCE),,0.0047,0.04,,
Toluene,,0.0097,2.3,,
Trichloroethylene (TCE),,0.00146,0.002,0.000811,0.0041
"Uranium, non-radioactive",,0.0006,,,
Vinyl chloride9,"for continuous lifetime exposure
during adulthood",,,0.24,0.0044
Vinyl chloride9,for continuous lifetime exposure from birth,,,0.48,0.0088
"Xylenes, mixed isomers",,0.013,0.1,,
