Substance,RAF Derm
Arsenic,0.03
Barium,0.1
Benzene2,0.03
Benzo[a]pyrene (B[a]P)3,0.148
Beryllium,0.1
Cadmium,0.01
Carbon tetrachloride,0.03
Chlorobenzene,0.03
"Chromium, total",0.1
"Chromium, hexavalent",0.1
Copper,0.06
"Dichlorobenzene, 1,2- (o-DCB)",0.03
"Dichlorobenzene, 1,4- (p-DCB)",0.03
"Dichloroethane, 1,2-",0.03
"Dichloroethylene, 1,1-",0.03
Dichloromethane (methylene chloride),0.03
Ethylbenzene,0.03
n-Hexane4,1
Lead5,0.006
Mercury6,1
Methylmercury,0.06
Nickel7,0.09
PAHs3,0.148
PCBs,0.14
PCDDs/PCDFs,0.03
Selenium,0.01
Tetrachloroethylene,0.03
Toluene,0.03
Trichloroethylene,0.03
Uranium,0.1
Vinyl chloride,0.03
"Xylenes, mixed isomers",0.03
Zinc,0.1
Zinc,
